entity,target_entity,relation,invert_relation
"Winnie, Inc.",Android,undefined,0
Marker International,Duplex,product_or_service_of,1
Stone & Wood Brewing Co.,Lion,shareholder_of,1
Bell Canada,"Cellport Systems, Inc.",collaboration,1
Global Electronic Trading Company,GETCO,product_or_service_of,1
Caspian Drilling Company,State Oil Company of Azerbaijan Republic,undefined,1
oeFun,Wii,product_or_service_of,0
Roja,Aalayam Productions,undefined,0
BMD Group,The Australian Financial Review,undefined,0
MidOcean Partners,Morgan Stanley,undefined,0
Time Life Television,McGraw-Hill,acquired_by,0
Lowry Solutions,Printronix,product_or_service_of,0
MidOcean Partners,Diamond Castle Holdings,undefined,0
"Rubio's Restaurants, Inc.",Orange Julius,undefined,0
Neptune Comic Distributors Ltd.,Titan Distributors,undefined,0
Webfoot Technologies Inc.,Dragon Ball Z,brand_of,1
Nomad,The New York Times,undefined,0
DX Freight,London Stock Exchange,traded_on,0
Openismus,GNOME,collaboration,0
Third Federal,Bauer Financial,undefined,0
"Endurance International Group, Inc.",Accel-KKR,undefined,0
Yale University,Phibro Animal Health Corporation,undefined,0
Foreigner,Unique Recording Studios,client_of,0
Malinche Entertainment,Android,undefined,0
Comp Air,Blue Yonder Aviation,collaboration,0
Price Rite,Wakefern Food Corporation,subsidiary_of,0
Kingfisher,Entertainment UK,acquired_by,1
Granite Ventures,Sendmail,shareholder_of,0
UBM Aviation,UBM plc,subsidiary_of,0
Fontana North,Fontana Distribution,collaboration,0
LucidEra,Crosslink Capital,shareholder_of,1
Supermarket Direct,Somerfield,acquired_by,0
"Medivation, Inc.",Food and Drug Administration,regulated_by,0
Imagen Satelital S.A.,TLC,undefined,0
Rocky Mountain Construction,Tennessee Tornado,undefined,0
Salsa Cycles,Surly Bikes,undefined,0
Qintex Limited,Mirage Resorts,shareholder_of,0
Content & Co,YouTube,undefined,0
Golden Rule Insurance Company,Republican Party,undefined,0
Pacific Gas and Electric Company,Silver Spring Networks,client_of,0
Hawk Films,Barry Lyndon,undefined,0
Anchor,iOS,undefined,0
Sycamore Partners,Kurt Geiger,undefined,0
Rebag,Gucci,undefined,0
