head_entity_text,tail_entity_text,relation
audits,waste,"Message-Topic (e1, e2)"
company,chairs,"Product-Producer (e2, e1)"
master,stick,"Instrument-Agency (e1, e2)"
body,reservoir,"Entity-Destination (e1, e2)"
influenza,virus,"Cause-Effect (e1, e2)"
ear,elephant,"Component-Whole (e1, e2)"
lie,parents,"Cause-Effect (e2, e1)"
hookup,users,"Member-Collection (e1, e2)"
room,house,"Content-Container (e1, e2)"
thesis,clinical characteristics,"Message-Topic (e1, e2)"
survivors,houses,"Entity-Destination (e1, e2)"
kimchi,maker,"Product-Producer (e1, e2)"
names,space,"Entity-Destination (e1, e2)"
landscape,company,"Product-Producer (e2, e1)"
gift,friend,"Entity-Origin (e1, e2)"
young,nest,"Entity-Origin (e1, e2)"
actress,airport,"Entity-Destination (e1, e2)"
filesharing,internet,"Instrument-Agency (e1, e2)"
zoo,beasts,"Member-Collection (e1, e2)"
song,musician,"Product-Producer (e1, e2)"
outline,spirituality,"Message-Topic (e1, e2)"
bomb,suitcase,"Content-Container (e1, e2)"
software,company,"Product-Producer (e2, e1)"
captain,crew,"Member-Collection (e1, e2)"
sesame,oil,"Component-Whole (e1, e2)"
housing,developer,"Product-Producer (e2, e1)"
effect,way,"Instrument-Agency (e1, e2)"
dramas,real events,"Message-Topic (e1, e2)"
drawings,museums,"Entity-Destination (e1, e2)"
cultures,epochs,"Entity-Origin (e1, e2)"
viruses,infections,"Cause-Effect (e1, e2)"
pieces,stories,"Message-Topic (e1, e2)"
steps,stairs,"Component-Whole (e1, e2)"
blisters,herpes simplex virus,"Cause-Effect (e1, e2)"
luff,sail,"Component-Whole (e1, e2)"
circuit,converter,"Component-Whole (e1, e2)"
camp,champions,"Member-Collection (e1, e2)"
cartridge,ink,"Content-Container (e2, e1)"
pod,whales,"Member-Collection (e1, e2)"
Roundworms,parasite,"Cause-Effect (e1, e2)"
subject,implication,"Message-Topic (e1, e2)"
cat,paw,"Component-Whole (e2, e1)"
treaty,rule,"Message-Topic (e1, e2)"
oil,ocean,"Entity-Destination (e1, e2)"
talent,village,"Entity-Origin (e1, e2)"
coins,plastic case,"Content-Container (e1, e2)"
space,drawer,"Content-Container (e1, e2)"
bottle,container,"Content-Container (e1, e2)"
News programs,violence,"Message-Topic (e1, e2)"
narrative,interplay,"Component-Whole (e1, e2)"
acid,eyes,"Entity-Destination (e1, e2)"
room,canvases,"Content-Container (e1, e2)"
gulp,magpies,"Member-Collection (e1, e2)"
convocation,scholars,"Member-Collection (e1, e2)"
murders,conviction,"Cause-Effect (e1, e2)"
monkeys,enclosure,"Entity-Origin (e1, e2)"
opinions,blog,"Entity-Destination (e1, e2)"
vibrations,movement,"Cause-Effect (e1, e2)"
diamond,colliers,"Component-Whole (e1, e2)"
door,lock,"Component-Whole (e2, e1)"
Red grape,wine,"Product-Producer (e2, e1)"
transcript,scribe,"Product-Producer (e1, e2)"
witch,magic,"Instrument-Agency (e1, e2)"
committee,organisation,"Component-Whole (e1, e2)"
clock,presentations,"Entity-Destination (e1, e2)"
family,features,"Product-Producer (e1, e2)"
method,combination,"Instrument-Agency (e1, e2)"
statue,head,"Component-Whole (e2, e1)"
article,use,"Message-Topic (e1, e2)"
comments,readers,"Product-Producer (e1, e2)"
president,university,"Member-Collection (e1, e2)"
wine,grapes,"Product-Producer (e1, e2)"
slide,crew,"Cause-Effect (e1, e2)"
inspector,yard,"Entity-Origin (e1, e2)"
regulations,force,Other
questions,press,"Product-Producer (e1, e2)"
children,exile,"Entity-Destination (e1, e2)"
father,bar,"Instrument-Agency (e1, e2)"
rebound,net,"Entity-Destination (e1, e2)"
student,application,"Product-Producer (e1, e2)"
bar,seats,"Component-Whole (e1, e2)"
