sentence,relation,label,entity1,entity2,sentence_without_tags,split
The <e1>team</e1> stapled the plastic along the joists with heavy duty staple <e2>guns</e2> to hold it in place.,"Instrument-Agency (e2, e1)",11,team,guns,The team stapled the plastic along the joists with heavy duty staple guns to hold it in place.,train
The <e1>barbels</e1> of the exposed <e2>catfish</e2> curled within 2 hours in heptachlor.,"Component-Whole (e1, e2)",2,barbels,catfish,The barbels of the exposed catfish curled within 2 hours in heptachlor.,train
The confrontation between Martyn and Liz earlier ended with a <e1>struggle</e1> that resulted in Martyn's <e2>drowning</e2>.,"Cause-Effect (e1, e2)",0,struggle,drowning,The confrontation between Martyn and Liz earlier ended with a struggle that resulted in Martyn's drowning.,train
The <e1>batteries</e1> are kept in a <e2>phone</e2>.,"Component-Whole (e1, e2)",2,batteries,phone,The batteries are kept in a phone.,train
The first two <e1>papers</e1> define the contemporary terrorist <e2>threat</e2> while the next three papers examine global counter-terrorism trends.,"Message-Topic (e1, e2)",14,papers,threat,The first two papers define the contemporary terrorist threat while the next three papers examine global counter-terrorism trends.,train
"In a former residence, your writer had an atrium containing a <e1>duel</e1> of doves<e2>moles</e2> numbering 22.","Member-Collection (e2, e1)",13,duel,moles,"In a former residence, your writer had an atrium containing a duel of dovesmoles numbering 22.",train
"The dentate <e1>gyrus</e1> is a part of the <e2>hippocampus</e2>, the main memory structure, and has been shown to play a role in the forming of new memories.","Component-Whole (e1, e2)",2,gyrus,hippocampus,"The dentate gyrus is a part of the hippocampus, the main memory structure, and has been shown to play a role in the forming of new memories.",train
The opening <e1>angle</e1> of the Cherenkov cone measures the velocity with a <e2>resolution</e2> of 0.2%.,Other,18,angle,resolution,The opening angle of the Cherenkov cone measures the velocity with a resolution of 0.2%.,train
The melodramatic <e1>plot</e1> dealt with <e2>crises</e2> of human emotion.,"Message-Topic (e1, e2)",14,plot,crises,The melodramatic plot dealt with crises of human emotion.,train
They stored the <e1>wine</e1> in a cool <e2>temperature</e2>.,Other,18,wine,temperature,They stored the wine in a cool temperature.,train
The <e1>pack</e1> contained a <e2>CD</e2> which held a range of resource information sheets and some presentations that could be integrated into your training packages.,"Content-Container (e2, e1)",5,pack,CD,The pack contained a CD which held a range of resource information sheets and some presentations that could be integrated into your training packages.,train
"In one of the scenes when Robert and Francessca are talking in front of his truck, a reflection of one of the movie set lights is seen on the <e1>hood</e1> of the <e2>truck</e2>.","Component-Whole (e1, e2)",2,hood,truck,"In one of the scenes when Robert and Francessca are talking in front of his truck, a reflection of one of the movie set lights is seen on the hood of the truck.",train
"A <e1>rower</e1> has one <e2>oar</e2> in sweep rowing, an oar in each hand in sculling.","Instrument-Agency (e2, e1)",11,rower,oar,"A rower has one oar in sweep rowing, an oar in each hand in sculling.",train
The <e1>report</e1> insisted on the <e2>need</e2> to guarantee income security independently of the variations in economic circumstances.,"Message-Topic (e1, e2)",14,report,need,The report insisted on the need to guarantee income security independently of the variations in economic circumstances.,train
"Close the <e1>lid</e1> of the <e2>portable computer</e2>, disconnect the computer from the power source, and then reopen the lid.","Component-Whole (e1, e2)",2,lid,portable computer,"Close the lid of the portable computer, disconnect the computer from the power source, and then reopen the lid.",train
All the <e1>birds</e1> have flown into the <e2>subway</e2> for the snowstorm.,"Entity-Destination (e1, e2)",6,birds,subway,All the birds have flown into the subway for the snowstorm.,train
The device is the best solution for <e1>headphone</e1> <e2>cable</e2> knots on your MP3 player.,"Component-Whole (e2, e1)",3,headphone,cable,The device is the best solution for headphone cable knots on your MP3 player.,train
Extensive <e1>damage</e1> at the mine has been caused by the <e2>strikers</e2>.,"Cause-Effect (e2, e1)",1,damage,strikers,Extensive damage at the mine has been caused by the strikers.,train
The <e1>filmmakers</e1> dug a large <e2>hole</e2> in the ground for the scene where the Narnians cause the pillars supporting the growth near Aslan's How to collapse on the Telmarines.,"Product-Producer (e2, e1)",17,filmmakers,hole,The filmmakers dug a large hole in the ground for the scene where the Narnians cause the pillars supporting the growth near Aslan's How to collapse on the Telmarines.,train
The agency spent this week auctioning off a 12-<e1>pack</e1> of beer-commercial <e2>scripts</e2> on eBay.,"Member-Collection (e2, e1)",13,pack,scripts,The agency spent this week auctioning off a 12-pack of beer-commercial scripts on eBay.,train
The <e1>sections</e1> of the text that explain the <e2>scientific method</e2> are interesting and could be applied to most areas of life.,"Message-Topic (e1, e2)",14,sections,scientific method,The sections of the text that explain the scientific method are interesting and could be applied to most areas of life.,train
The <e1>old cars</e1> is migrating into the new <e2>residents properties</e2> together with the residents.,"Entity-Destination (e1, e2)",6,old cars,residents properties,The old cars is migrating into the new residents properties together with the residents.,train
Less <e1>obedience</e1> was extracted from <e2>subjects</e2> in this case.,Other,18,obedience,subjects,Less obedience was extracted from subjects in this case.,train
The <e1>award</e1> comprises a <e2>trophy</e2> and a certificate and is being run by The British Cartographic Society with the support of Stanfords Map Shop.,"Component-Whole (e2, e1)",3,award,trophy,The award comprises a trophy and a certificate and is being run by The British Cartographic Society with the support of Stanfords Map Shop.,train
The influential <e1>towns</e1> of Brownville and Fontanelle were founded that <e2>year</e2> as well.,Other,18,towns,year,The influential towns of Brownville and Fontanelle were founded that year as well.,train
The production assistant is basically the <e1>guy</e1> who makes <e2>coffee</e2> and goes to the post office.,"Product-Producer (e2, e1)",17,guy,coffee,The production assistant is basically the guy who makes coffee and goes to the post office.,train
What is so amazing about this technology is that the <e1>image</e1> is constructed from random <e2>photos</e2> pulled from the Internet.,"Component-Whole (e2, e1)",3,image,photos,What is so amazing about this technology is that the image is constructed from random photos pulled from the Internet.,train
This introductory <e1>text</e1> makes a threefold contribution to the undergraduate <e2>literature</e2>.,Other,18,text,literature,This introductory text makes a threefold contribution to the undergraduate literature.,train
America allows the media to manipulate society as easy a <e1>puppeteer</e1> manipulates a <e2>puppet</e2>.,"Instrument-Agency (e2, e1)",11,puppeteer,puppet,America allows the media to manipulate society as easy a puppeteer manipulates a puppet.,train
"Because of the air pressure, the <e1>objects</e1> sank into the <e2>sand</e2>.","Entity-Destination (e1, e2)",6,objects,sand,"Because of the air pressure, the objects sank into the sand.",train
"The taste, however, is mild, and like <e1>rice</e1> <e2>liquor</e2> gone right.","Entity-Origin (e2, e1)",9,rice,liquor,"The taste, however, is mild, and like rice liquor gone right.",train
"The <e1>girl</e1>, in her first holiday season as an Elm Creek Quilter, creates a <e2>quilt</e2> for her best friend even as she begins to question her feelings for him.","Product-Producer (e2, e1)",17,girl,quilt,"The girl, in her first holiday season as an Elm Creek Quilter, creates a quilt for her best friend even as she begins to question her feelings for him.",train
The goal of the <e1>project</e1> was to introduce environmentally efficient production <e2>technologies</e2>.,Other,18,project,technologies,The goal of the project was to introduce environmentally efficient production technologies.,train
It is a medieval Latin <e1>manuscript</e1> relating the early <e2>history</e2> of the Isle of Man.,"Message-Topic (e1, e2)",14,manuscript,history,It is a medieval Latin manuscript relating the early history of the Isle of Man.,train
"To strengthen, if needed, maybe some sinister reference to the <e1>pea</e1> having got out from under the <e2>mattress</e2>.","Entity-Origin (e1, e2)",8,pea,mattress,"To strengthen, if needed, maybe some sinister reference to the pea having got out from under the mattress.",train
This error <e1>message</e1> indicates that an <e2>error</e2> has occurred.,"Message-Topic (e1, e2)",14,message,error,This error message indicates that an error has occurred.,train
It is the oldest and largest international research consortium aimed at understanding the <e1>challenges</e1> facing the global automotive <e2>industry</e2>.,Other,18,challenges,industry,It is the oldest and largest international research consortium aimed at understanding the challenges facing the global automotive industry.,train
Patients with adenomyosis experience <e1>pain</e1> from this <e2>disease</e2> in the early 30's.,"Cause-Effect (e2, e1)",1,pain,disease,Patients with adenomyosis experience pain from this disease in the early 30's.,train
Of course the <e1>film</e1> also takes into account the <e2>social factors</e2>.,"Message-Topic (e1, e2)",14,film,social factors,Of course the film also takes into account the social factors.,train
"The <e1>knight</e1> raised his dragon <e2>battle axe</e2>, and dealt the creature a crushing blow.","Instrument-Agency (e2, e1)",11,knight,battle axe,"The knight raised his dragon battle axe, and dealt the creature a crushing blow.",train
The <e1>viewer</e1> wields the <e2>remote</e2>.,"Instrument-Agency (e2, e1)",11,viewer,remote,The viewer wields the remote.,train
"Alzheimer's disease is a degenerative brain <e1>disorder</e1> that results in <e2>memory loss</e2>, impaired thinking, difficulty finding the right word when speaking, and personality changes (see ""Warning signs of Alzheimer's disease,"" below).","Cause-Effect (e1, e2)",0,disorder,memory loss,"Alzheimer's disease is a degenerative brain disorder that results in memory loss, impaired thinking, difficulty finding the right word when speaking, and personality changes (see ""Warning signs of Alzheimer's disease,"" below).",train
OPM and others have regularly bemoaned the failure of the SES to produce a <e1>corps</e1> of generalist <e2>executives</e2> - and have regularly suggested the removal from the SES of executives with technical or professional skills and competencies.,"Member-Collection (e2, e1)",13,corps,executives,OPM and others have regularly bemoaned the failure of the SES to produce a corps of generalist executives - and have regularly suggested the removal from the SES of executives with technical or professional skills and competencies.,train
"This <e1>configuration</e1> of <e2>dominoes</e2> is called the layout, string, or line of play.",Other,18,configuration,dominoes,"This configuration of dominoes is called the layout, string, or line of play.",train
"The <e1>fortress</e1> has two layers of <e2>walls</e2> - the outer wall with the fortress gates, and the inner wall protecting the keep.","Component-Whole (e2, e1)",3,fortress,walls,"The fortress has two layers of walls - the outer wall with the fortress gates, and the inner wall protecting the keep.",train
China sent the <e1>premier</e1> to the <e2>meeting</e2> on the climate change.,"Entity-Destination (e1, e2)",6,premier,meeting,China sent the premier to the meeting on the climate change.,train
The <e1>courts</e1> created the Freeman-Walter-Abele <e2>test</e2> to determine whether an algorithm only represents an abstract idea.,"Product-Producer (e2, e1)",17,courts,test,The courts created the Freeman-Walter-Abele test to determine whether an algorithm only represents an abstract idea.,train
I have dropped the <e1>beads</e1> into the <e2>gasoline</e2>.,"Entity-Destination (e1, e2)",6,beads,gasoline,I have dropped the beads into the gasoline.,train
"But what is not seen in the television pictures, is the almost invisible army of 7000 migrant <e1>workers</e1> who built the iconic <e2>structure</e2>.","Product-Producer (e2, e1)",17,workers,structure,"But what is not seen in the television pictures, is the almost invisible army of 7000 migrant workers who built the iconic structure.",train
"In one day, the Red Crescent treated more than 50 injuries - mainly broken bones caused by <e1>panic</e1> from <e2>aftershocks</e2>.","Cause-Effect (e2, e1)",1,panic,aftershocks,"In one day, the Red Crescent treated more than 50 injuries - mainly broken bones caused by panic from aftershocks.",train
"The <e1>epidemic</e1> is spreading into <e2>areas</e2> and countries where, until recently, there was little or no HIV present.","Entity-Destination (e1, e2)",6,epidemic,areas,"The epidemic is spreading into areas and countries where, until recently, there was little or no HIV present.",train
"<e1>Rum</e1> is distilled from fermented sugarcane <e2>juice</e2>, fermented sugarcane syrup or fermented molasses.","Entity-Origin (e1, e2)",8,Rum,juice,"Rum is distilled from fermented sugarcane juice, fermented sugarcane syrup or fermented molasses.",train
Commuters and holiday <e1>travellers</e1> are running into heavy <e2>delays</e2> on Route 128 in Weston this morning.,Other,18,travellers,delays,Commuters and holiday travellers are running into heavy delays on Route 128 in Weston this morning.,train
