head_entity_text,tail_entity_text,relation
audits,waste,"Message-Topic (e1, e2)"
company,chairs,"Product-Producer (e1, e2)"
master,stick,"Instrument-Agency (e1, e2)"
body,reservoir,"Entity-Destination (e1, e2)"
influenza,virus,"Cause-Effect (e2, e1)"
ear,elephant,"Component-Whole (e1, e2)"
lie,parents,"Cause-Effect (e2, e1)"
hookup,users,"Instrument-Agency (e1, e2)"
room,house,"Component-Whole (e1, e2)"
thesis,clinical characteristics,"Message-Topic (e1, e2)"
survivors,houses,"Entity-Destination (e1, e2)"
kimchi,maker,"Product-Producer (e2, e1)"
names,space,"Entity-Destination (e1, e2)"
landscape,company,Other
gift,friend,"Entity-Origin (e2, e1)"
young,nest,"Entity-Origin (e1, e2)"
actress,airport,"Entity-Destination (e1, e2)"
filesharing,internet,"Instrument-Agency (e1, e2)"
zoo,beasts,"Member-Collection (e1, e2)"
song,musician,"Product-Producer (e2, e1)"
outline,spirituality,"Message-Topic (e1, e2)"
bomb,suitcase,"Content-Container (e1, e2)"
software,company,Other
captain,crew,"Member-Collection (e1, e2)"
sesame,oil,"Product-Producer (e1, e2)"
housing,developer,Other
effect,way,Other
dramas,real events,"Message-Topic (e1, e2)"
drawings,museums,"Entity-Destination (e1, e2)"
cultures,epochs,Other
viruses,infections,"Cause-Effect (e2, e1)"
pieces,stories,"Message-Topic (e1, e2)"
steps,stairs,"Component-Whole (e1, e2)"
blisters,herpes simplex virus,"Cause-Effect (e2, e1)"
luff,sail,"Component-Whole (e1, e2)"
circuit,converter,"Component-Whole (e1, e2)"
camp,champions,"Member-Collection (e1, e2)"
cartridge,ink,"Content-Container (e1, e2)"
pod,whales,"Member-Collection (e1, e2)"
Roundworms,parasite,"Cause-Effect (e2, e1)"
subject,implication,Other
cat,paw,"Component-Whole (e1, e2)"
treaty,rule,Other
oil,ocean,"Entity-Destination (e1, e2)"
talent,village,"Entity-Origin (e1, e2)"
coins,plastic case,"Content-Container (e1, e2)"
space,drawer,Other
bottle,container,"Content-Container (e1, e2)"
News programs,violence,"Message-Topic (e1, e2)"
narrative,interplay,Other
acid,eyes,"Entity-Destination (e1, e2)"
room,canvases,"Content-Container (e1, e2)"
gulp,magpies,"Member-Collection (e1, e2)"
convocation,scholars,"Member-Collection (e1, e2)"
murders,conviction,"Cause-Effect (e2, e1)"
monkeys,enclosure,"Entity-Origin (e1, e2)"
opinions,blog,"Content-Container (e1, e2)"
vibrations,movement,"Cause-Effect (e1, e2)"
diamond,colliers,"Component-Whole (e1, e2)"
door,lock,"Component-Whole (e1, e2)"
Red grape,wine,"Product-Producer (e1, e2)"
transcript,scribe,"Product-Producer (e2, e1)"
witch,magic,"Instrument-Agency (e1, e2)"
committee,organisation,"Component-Whole (e1, e2)"
clock,presentations,"Content-Container (e1, e2)"
family,features,Other
